Município;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago
260600 GARANHUNS;237;182;234;308;418;269;161;94;63;81;62;83;133;128;62;45;42;65;84;33
260610 GLORIA DO GOITA;3;-;1;-;1;-;1;-;-;2;2;1;-;-;1;1;1;1;1;-
260620 GOIANA;36;17;43;48;100;103;72;61;58;37;43;43;51;74;34;32;38;39;44;36
260630 GRANITO;-;1;-;5;14;1;2;4;1;2;1;4;3;3;1;1;2;4;3;-
260640 GRAVATA;5;-;31;67;111;76;36;22;19;25;16;17;43;29;11;12;9;3;5;4
260650 IATI;2;-;1;2;5;7;1;3;-;1;-;-;-;3;3;1;4;1;5;1
260660 IBIMIRIM;2;1;3;13;24;8;7;4;11;20;7;2;2;3;3;2;7;4;7;3
260670 IBIRAJUBA;2;-;1;-;5;1;2;1;-;-;2;-;-;-;-;-;-;-;-;-
260680 IGARASSU;8;5;21;9;-;-;-;-;1;-;-;3;1;-;-;2;-;1;1;-
260690 IGUARACY;-;2;5;2;-;5;1;-;-;-;-;-;1;2;1;-;1;-;-;1
260700 INAJA;2;-;1;2;28;17;2;2;5;1;5;1;-;-;-;4;1;3;7;-
260710 INGAZEIRA;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;2;1;1;-;-
260720 IPOJUCA;17;13;49;43;46;24;7;1;4;4;1;5;9;-;-;-;-;-;-;-
260730 IPUBI;5;6;6;11;8;5;5;1;4;5;2;11;8;8;4;-;-;-;-;-
260740 ITACURUBA;2;1;-;2;2;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-
260750 ITAIBA;11;3;11;9;17;20;7;9;5;2;2;4;9;9;3;5;-;3;-;-
260760 ILHA DE ITAMARACA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260765 ITAMBE;7;4;13;25;10;5;5;2;3;5;1;3;5;7;-;-;-;-;-;-
260770 ITAPETIM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260775 ITAPISSUMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260780 ITAQUITINGA;-;-;6;2;-;1;1;-;1;-;-;-;1;-;1;-;-;1;-;-
260790 JABOATAO DOS GUARARAPES;178;190;292;326;335;290;241;306;266;229;238;248;257;196;212;234;199;219;226;150
260795 JAQUEIRA;-;-;-;-;-;3;1;2;2;-;-;-;-;-;1;4;2;7;3;2
260800 JATAUBA;9;7;23;18;14;13;2;2;10;-;2;2;2;7;1;-;2;4;8;1
260805 JATOBA;4;3;6;7;12;16;7;5;6;7;3;3;5;-;-;-;-;-;-;-
260810 JOAO ALFREDO;7;9;12;14;34;11;4;5;3;3;5;7;12;7;6;4;3;1;-;-
260820 JOAQUIM NABUCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260825 JUCATI;1;1;5;8;12;-;-;5;2;2;1;-;5;1;-;-;-;1;-;-
260830 JUPI;6;5;12;8;18;10;9;3;2;3;2;2;1;1;2;4;1;3;-;-
260840 JUREMA;3;8;-;3;8;7;5;5;1;-;-;-;-;2;-;1;-;-;-;-
260845 LAGOA DO CARRO;1;1;4;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-
260850 LAGOA DE ITAENGA;-;1;-;2;-;1;-;-;-;1;1;-;1;-;-;-;1;-;-;-
260860 LAGOA DO OURO;1;1;-;1;18;1;1;1;2;1;2;1;3;3;1;1;2;2;1;-
260870 LAGOA DOS GATOS;1;1;1;1;2;1;-;-;-;3;-;2;-;-;-;-;-;-;1;-
260875 LAGOA GRANDE;8;8;11;12;14;14;3;2;9;-;4;4;2;3;1;3;-;1;-;-
260880 LAJEDO;20;25;33;49;78;40;20;12;9;13;7;7;7;7;10;15;7;6;10;-
260890 LIMOEIRO;61;72;137;133;183;137;89;53;36;34;35;54;68;60;32;38;29;37;52;19
260900 MACAPARANA;2;1;1;-;-;2;1;1;2;1;-;1;1;1;1;1;2;3;1;2
260910 MACHADOS;2;5;4;9;7;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-
260915 MANARI;6;5;9;13;9;19;7;1;1;3;3;3;2;9;4;2;5;4;3;5
260920 MARAIAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
260930 MIRANDIBA;4;3;2;4;7;5;4;4;1;-;2;1;5;5;4;1;-;5;1;1
260940 MORENO;27;24;47;58;55;47;51;49;40;56;44;56;31;30;34;34;44;34;52;26
260950 NAZARE DA MATA;19;8;8;15;13;12;12;5;11;15;5;10;8;9;14;18;11;12;11;7
260960 OLINDA;189;198;461;577;567;407;237;127;145;150;166;266;324;174;51;40;41;53;44;22
260970 OROBO;5;8;17;6;41;27;6;3;5;3;3;4;1;7;3;2;2;1;5;3
260980 OROCO;7;5;6;5;22;13;2;-;1;-;3;3;2;6;2;1;-;1;-;-
260990 OURICURI;69;50;81;85;89;77;45;39;35;34;29;37;43;47;31;29;19;17;10;7
261000 PALMARES;101;115;162;154;167;158;117;88;63;62;65;107;163;103;80;80;73;67;83;43
261010 PALMEIRINA;2;-;2;1;3;1;1;1;-;2;3;-;-;-;2;1;-;-;2;-
261020 PANELAS;1;1;-;2;8;6;3;2;3;-;-;1;3;2;2;3;2;2;4;-
261030 PARANATAMA;7;1;10;25;26;5;12;4;3;3;-;-;2;3;2;9;10;3;5;3
261040 PARNAMIRIM;16;7;40;18;15;9;7;8;6;5;7;5;10;9;6;8;5;4;11;6
261050 PASSIRA;5;5;6;24;21;15;3;3;3;1;1;1;-;2;1;-;-;-;-;-
261060 PAUDALHO;-;-;27;24;22;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261070 PAULISTA;101;137;216;235;328;238;156;136;116;127;112;104;136;68;74;69;61;107;72;55
261080 PEDRA;-;-;10;8;14;10;3;-;-;1;2;3;2;3;1;1;2;1;2;-
261090 PESQUEIRA;34;19;70;66;118;63;37;10;20;12;8;10;20;17;14;13;15;19;22;6
261100 PETROLANDIA;13;4;7;7;32;31;13;4;5;4;6;6;15;12;6;4;3;10;20;2
261110 PETROLINA;166;158;383;377;307;268;87;56;52;52;81;64;110;112;52;33;38;63;69;22
261120 POCAO;-;-;1;10;5;6;2;-;-;-;1;1;-;1;1;1;-;1;-;-
261130 POMBOS;9;7;18;18;44;21;10;-;1;-;1;8;12;-;-;2;-;-;-;-
261140 PRIMAVERA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261150 QUIPAPA;-;-;-;2;6;3;3;3;-;-;2;-;1;2;3;3;1;2;2;-
261153 QUIXABA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261160 RECIFE;3125;3157;5350;5686;5849;5045;3382;2859;2574;2569;2392;2587;3198;2654;2273;2108;1851;1866;1736;798
261170 RIACHO DAS ALMAS;-;2;4;8;23;5;4;1;2;1;2;1;4;-;2;-;-;3;2;2
261180 RIBEIRAO;2;4;9;5;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261190 RIO FORMOSO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261200 SAIRE;-;-;1;4;21;6;-;2;1;-;1;-;2;2;1;2;3;-;1;-
261210 SALGADINHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261220 SALGUEIRO;131;113;121;154;175;108;69;56;45;68;54;53;66;65;76;51;57;57;54;36
261230 SALOA;6;8;9;32;30;8;11;1;4;1;1;1;11;9;5;2;2;8;1;-
261240 SANHARO;1;2;-;2;8;2;3;3;3;3;-;2;-;5;1;3;3;8;-;-
261245 SANTA CRUZ;14;8;13;11;32;12;7;2;7;1;2;6;4;5;5;2;3;1;1;-
261247 SANTA CRUZ DA BAIXA VERDE;1;8;-;5;-;3;-;-;3;5;1;-;10;3;2;9;-;-;6;-
261250 SANTA CRUZ DO CAPIBARIBE;9;4;22;63;92;46;26;14;12;7;3;2;8;3;10;6;7;4;3;-
261255 SANTA FILOMENA;3;2;3;8;5;9;3;3;1;3;3;2;8;7;1;-;-;-;-;-
261260 SANTA MARIA DA BOA VISTA;4;9;15;19;32;15;14;2;6;15;9;7;23;11;5;5;2;3;5;4
261270 SANTA MARIA DO CAMBUCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261280 SANTA TEREZINHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261290 SAO BENEDITO DO SUL;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-
261300 SAO BENTO DO UNA;16;8;36;38;85;36;15;10;11;12;13;6;15;14;8;12;10;17;8;-
261310 SAO CAITANO;5;8;14;21;29;11;7;7;4;7;3;-;6;15;3;2;2;8;7;2
261320 SAO JOAO;4;6;13;8;23;11;1;3;2;2;2;1;3;2;3;-;3;2;4;-
261330 SAO JOAQUIM DO MONTE;5;6;5;8;12;4;-;-;1;1;1;3;1;5;1;-;2;-;-;-
261340 SAO JOSE DA COROA GRANDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261350 SAO JOSE DO BELMONTE;-;1;2;3;2;2;3;5;2;1;4;-;-;1;3;-;3;5;7;-
261360 SAO JOSE DO EGITO;5;16;18;12;6;-;7;3;2;3;6;3;3;9;2;4;4;6;4;4
261370 SAO LOURENCO DA MATA;12;16;22;23;83;54;20;12;16;22;15;17;24;17;22;27;15;30;48;13
261380 SAO VICENTE FERRER;-;1;4;7;4;5;1;-;-;-;-;-;2;1;-;-;-;-;-;-
261390 SERRA TALHADA;204;157;249;269;280;252;100;88;64;79;71;84;149;127;68;63;70;47;37;36
261400 SERRITA;8;16;43;28;12;13;8;6;2;3;5;6;7;14;4;8;4;3;-;-
261410 SERTANIA;11;20;23;30;45;56;26;11;4;4;9;3;18;18;7;15;23;11;18;4
261420 SIRINHAEM;-;1;3;10;12;11;4;-;4;4;-;4;3;6;1;1;-;1;2;1
261430 MOREILANDIA;4;3;6;8;8;9;8;-;3;2;-;2;4;-;3;2;2;4;1;-
261440 SOLIDAO;6;1;5;4;4;3;3;1;-;-;-;-;1;4;-;-;-;-;-;-
261450 SURUBIM;18;19;35;36;63;19;3;10;13;11;14;7;6;4;8;4;10;9;11;8
261460 TABIRA;7;7;13;18;22;22;9;1;4;1;3;2;1;7;6;2;2;4;1;1
261470 TACAIMBO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261480 TACARATU;-;-;2;2;2;4;-;-;1;-;1;1;3;-;1;3;1;1;1;-
261485 TAMANDARE;-;2;-;3;5;9;-;-;-;-;-;1;-;-;1;-;-;-;-;-
261500 TAQUARITINGA DO NORTE;13;7;25;26;30;17;4;4;2;4;2;1;6;7;4;-;4;1;2;2
261510 TEREZINHA;1;-;5;6;9;10;-;-;-;-;-;-;1;-;1;-;-;1;2;-
261520 TERRA NOVA;5;2;6;12;8;10;9;2;3;6;-;2;7;8;4;6;4;5;3;2
261530 TIMBAUBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261540 TORITAMA;8;8;34;57;82;40;13;8;7;6;7;5;3;1;3;-;-;-;-;-
261550 TRACUNHAEM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261560 TRINDADE;22;8;24;49;25;16;6;1;5;2;9;7;5;6;1;5;2;4;4;-
261570 TRIUNFO;6;6;3;2;8;13;-;2;1;-;1;-;-;1;8;3;2;1;-;-
261580 TUPANATINGA;-;7;7;1;5;14;11;2;5;-;2;1;4;4;2;3;1;5;6;-
261590 TUPARETAMA;-;2;-;-;4;4;2;-;1;-;1;2;1;-;1;-;-;1;-;-
261600 VENTUROSA;1;4;6;12;36;23;8;8;3;2;3;4;8;4;2;4;-;2;1;-
261610 VERDEJANTE;-;5;6;5;10;9;5;2;1;1;2;1;2;6;1;1;1;2;3;2
261618 VERTENTE DO LERIO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
261620 VERTENTES;7;6;17;28;48;27;7;7;8;1;5;3;2;7;4;4;1;3;4;1
261630 VICENCIA;1;4;7;3;11;4;-;1;-;-;-;1;-;-;-;1;-;2;4;-
261640 VITORIA DE SANTO ANTAO;67;80;141;200;273;188;94;58;54;59;49;81;161;108;55;59;71;66;102;24
261650 XEXEU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270010 AGUA BRANCA;2;2;-;-;-;-;3;1;1;2;1;2;1;-;-;-;-;-;-;-
270020 ANADIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270030 ARAPIRACA;246;331;476;479;591;552;305;144;103;123;92;97;154;182;82;69;53;67;64;45
270040 ATALAIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;2;11;4;1;-
270050 BARRA DE SANTO ANTONIO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270060 BARRA DE SAO MIGUEL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270070 BATALHA;3;2;2;1;3;1;4;1;1;-;-;-;-;-;2;2;3;1;2;1
270080 BELEM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270090 BELO MONTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270100 BOCA DA MATA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270110 BRANQUINHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270120 CACIMBINHAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270130 CAJUEIRO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270135 CAMPESTRE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270140 CAMPO ALEGRE;43;56;101;47;73;88;24;5;4;7;10;3;7;10;4;2;9;4;5;8
270150 CAMPO GRANDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270160 CANAPI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270170 CAPELA;3;11;23;29;26;16;9;5;7;1;1;-;-;-;-;-;1;9;2;-
270180 CARNEIROS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270190 CHA PRETA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270200 COITE DO NOIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270210 COLONIA LEOPOLDINA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270220 COQUEIRO SECO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270230 CORURIPE;25;22;34;48;58;55;34;12;11;12;3;11;9;9;10;3;1;-;-;-
270235 CRAIBAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270240 DELMIRO GOUVEIA;-;4;-;1;1;-;32;11;5;6;1;5;8;17;3;1;3;7;-;-
270250 DOIS RIACHOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270255 ESTRELA DE ALAGOAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270260 FEIRA GRANDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270270 FELIZ DESERTO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270280 FLEXEIRAS;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-
270290 GIRAU DO PONCIANO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270300 IBATEGUARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270310 IGACI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270320 IGREJA NOVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270330 INHAPI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270340 JACARE DOS HOMENS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270350 JACUIPE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270360 JAPARATINGA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270370 JARAMATAIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270375 JEQUIA DA PRAIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270380 JOAQUIM GOMES;3;3;-;1;2;1;2;6;1;4;-;1;-;-;1;1;-;-;-;-
270390 JUNDIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270400 JUNQUEIRO;2;5;4;3;11;3;6;3;4;6;2;5;4;4;2;4;6;5;7;-
270410 LAGOA DA CANOA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270420 LIMOEIRO DE ANADIA;-;-;-;-;-;-;-;5;2;2;8;5;3;-;-;-;-;-;-;-
270430 MACEIO;845;910;1367;1190;1148;968;702;544;559;606;531;392;583;515;390;361;316;447;454;251
270440 MAJOR ISIDORO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270450 MARAGOGI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270460 MARAVILHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270470 MARECHAL DEODORO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270480 MARIBONDO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270490 MAR VERMELHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270500 MATA GRANDE;5;2;2;2;3;6;4;1;2;7;5;3;2;3;-;3;8;4;-;-
270510 MATRIZ DE CAMARAGIBE;1;1;2;4;3;8;4;-;1;1;1;1;-;-;-;1;1;1;1;4
270520 MESSIAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270530 MINADOR DO NEGRAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270540 MONTEIROPOLIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270550 MURICI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270560 NOVO LINO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270570 OLHO D'AGUA DAS FLORES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270580 OLHO D'AGUA DO CASADO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270590 OLHO D'AGUA GRANDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270600 OLIVENCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270610 OURO BRANCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270620 PALESTINA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270630 PALMEIRA DOS INDIOS;31;35;59;60;68;37;34;19;3;3;4;7;3;6;1;3;10;10;7;-
270640 PAO DE ACUCAR;7;5;2;6;8;5;5;4;8;5;5;6;3;1;2;3;6;6;6;5
270642 PARICONHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270644 PARIPUEIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270650 PASSO DE CAMARAGIBE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270660 PAULO JACINTO;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270670 PENEDO;40;37;71;58;56;29;30;16;16;9;13;13;9;8;10;17;16;16;5;-
270680 PIACABUCU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270690 PILAR;7;5;7;7;10;17;23;27;31;30;27;15;10;5;12;27;56;46;19;25
270700 PINDOBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270710 PIRANHAS;17;-;10;9;12;26;13;14;7;21;9;8;15;6;13;12;17;9;14;-
270720 POCO DAS TRINCHEIRAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270730 PORTO CALVO;10;37;67;58;77;57;20;4;3;3;3;8;24;5;4;9;11;7;-;-
270740 PORTO DE PEDRAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270750 PORTO REAL DO COLEGIO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270760 QUEBRANGULO;6;8;25;8;9;26;13;2;3;-;2;3;1;2;3;-;6;2;1;4
270770 RIO LARGO;17;14;58;46;35;24;8;2;7;9;4;5;3;2;1;1;1;5;-;-
270780 ROTEIRO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270790 SANTA LUZIA DO NORTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270800 SANTANA DO IPANEMA;75;93;107;129;135;159;120;58;34;36;32;24;54;57;29;30;24;25;36;30
270810 SANTANA DO MUNDAU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270820 SAO BRAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270830 SAO JOSE DA LAJE;2;2;1;-;1;2;-;2;1;-;5;6;2;-;5;-;5;2;1;1
270840 SAO JOSE DA TAPERA;-;-;-;8;26;26;13;2;2;2;3;-;1;4;2;-;3;1;6;3
270850 SAO LUIS DO QUITUNDE;1;1;2;-;1;3;-;-;1;1;-;-;1;-;-;-;-;1;-;-
270860 SAO MIGUEL DOS CAMPOS;43;53;90;72;126;92;33;26;17;20;18;10;11;13;22;12;19;18;10;-
270870 SAO MIGUEL DOS MILAGRES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270880 SAO SEBASTIAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270890 SATUBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270895 SENADOR RUI PALMEIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270900 TANQUE D'ARCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270910 TAQUARANA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270915 TEOTONIO VILELA;5;17;40;57;36;28;12;10;9;14;19;11;19;11;14;23;18;26;7;-
270920 TRAIPU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
270930 UNIAO DOS PALMARES;29;55;79;81;76;56;32;18;9;14;10;14;32;8;5;11;14;5;1;-
270940 VICOSA;1;1;4;1;2;2;6;6;3;3;8;8;3;2;3;1;7;7;-;2
280010 AMPARO DE SAO FRANCISCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280020 AQUIDABA;59;57;49;49;55;70;57;80;57;46;42;52;37;34;51;52;42;14;70;48
280030 ARACAJU;600;455;992;1082;1088;884;422;297;248;212;165;164;307;270;224;194;180;174;149;54
280040 ARAUA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280050 AREIA BRANCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280060 BARRA DOS COQUEIROS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280067 BOQUIM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280070 BREJO GRANDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280100 CAMPO DO BRITO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280110 CANHOBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280120 CANINDE DE SAO FRANCISCO;-;-;-;-;-;-;-;-;1;1;6;5;4;7;6;3;5;1;1;-
280130 CAPELA;10;34;20;21;49;34;47;43;41;42;51;43;25;36;41;51;52;39;9;-
280140 CARIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280150 CARMOPOLIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280160 CEDRO DE SAO JOAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280170 CRISTINAPOLIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280190 CUMBE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280200 DIVINA PASTORA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280210 ESTANCIA;67;60;222;285;249;152;49;22;18;21;15;22;22;41;18;20;26;35;21;1
280220 FEIRA NOVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280230 FREI PAULO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280240 GARARU;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280250 GENERAL MAYNARD;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280260 GRACHO CARDOSO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280270 ILHA DAS FLORES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280280 INDIAROBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280290 ITABAIANA;79;49;165;224;244;161;72;31;29;16;26;22;36;42;27;34;20;18;-;-
280300 ITABAIANINHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280310 ITABI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280320 ITAPORANGA D'AJUDA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280330 JAPARATUBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280340 JAPOATA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280350 LAGARTO;126;96;204;230;296;229;97;49;40;34;29;22;60;49;22;39;33;35;44;15
280360 LARANJEIRAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280370 MACAMBIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280380 MALHADA DOS BOIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280390 MALHADOR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280400 MARUIM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280410 MOITA BONITA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
280420 MONTE ALEGRE DE SERGIPE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
